Front,Back,Tags
"Infrarrojo: rango, λ, energía, fuentes, uso.","300 GHz – 430 THz; λ 700 nm – 1 mm; E 1.24 meV – 1.77 eV. Fuentes: todo cuerpo > 0 K (pico 10 μm a 300 K), polvo cósmico, JWST. Uso: termografía, visión nocturna, fibra óptica (NIR), espectroscopía molecular.","espectro-em tabla-infrarrojo"
"Luz visible: rango, λ, energía, fuentes, uso.","430 – 790 THz; λ 380 – 700 nm; E 1.77 – 3.26 eV. Fuentes: estrellas tipo Sol (pico 550 nm), nebulosas, bioluminiscencia. Uso: visión humana, fotosíntesis, iluminación LED/laser, fibra óptica, pantallas.","espectro-em tabla-visible"
"Ultravioleta: sub-bandas (UVA/UVB/UVC), rangos, usos, peligrosidad.","UVA 315–400 nm (bronceado, forenses); UVB 280–315 nm (vitamina D, quemaduras, cáncer); UVC 100–280 nm (esterilización 254 nm, litografía EUV). Ionizante parcial: UVB/UVC dañan ADN.","espectro-em tabla-uv"
"Rayos X: rango, λ, energía, fuentes, usos, peligrosidad.","30 PHz – 30 EHz; λ 0.01–10 nm; E 124 eV – 124 keV. Fuentes: corona solar, estrellas de neutrones, gas >10⁶ K. Usos: radiografía, TC, cristalografía, seguridad. Ionizantes: daño ADN, riesgo cáncer, blindaje Pb.","espectro-em tabla-rayos-x"
"Rayos gamma: rango, λ, energía, fuentes, usos, peligrosidad.","> 30 EHz; λ < 0.01 nm (<10 pm); E > 124 keV. Fuentes: desintegración nuclear, púlsares, GRBs, aniquilación materia-antimateria. Usos: radioterapia (⁶⁰Co), PET, astronomía γ (Fermi). Altamente ionizantes: blindaje Pb/hormigón metros.","espectro-em tabla-gamma"
"Analogía del piano: ¿cuántas octavas tiene el espectro EM y cuántas percibemos?","~80 octavas totales (factor 2 por octava). La luz visible = 1 octava. Radio = notas graves (fotones 'perezosos'), γ = notas agudas (fotones atraviesan plomo, rompen núcleos).","espectro-em analogia"
"¿Por qué distintas regiones penetran materiales diferentes?","Depende de la energía del fotón relativa a escalas de energía de la materia: radio (μeV–meV) atraviesa muros no conductores, reflejada por metal; IR absorbido por vibraciones H₂O/CO₂; visible absorbido/reflejado por pigmentos; X atraviesa tejido blando, absorbido por hueso (Z alto); γ requiere Pb/hormigón.","espectro-em interaccion-materia"
"¿Cómo se generan las distintas regiones del espectro?","Antenas (oscilación e⁻ → radio), magnetrones/cavidades (microondas), radiación térmica (cuerpos calientes → IR/visible), transiciones electrónicas átomos (visible/UV), bremsstrahlung/desaceleración partículas (X), desintegración nuclear (γ). Fórmula Larmor: P = q²a²/(6πε₀c³).","espectro-em generacion"
"Evento histórico: astronomía multi-mensajero GW170817 (17 ago 2017). ¿Qué se detectó?","Fusión de 2 estrellas de neutrones a 130 M años-luz: LIGO/Virgo detectó ondas gravitacionales; 1.7 s después Fermi detectó GRB 170817A (γ); ~70 observatorios monitorearon en todo el espectro EM. Confirmó que fusiones generan elementos pesados (oro, platino).","espectro-em astronomia"
"¿Qué determina la peligrosidad biológica de la radiación EM?","Energía del fotón: >10 eV (ionizante) arranca electrones, rompe enlaces químicos, daña ADN directamente (efecto acumulativo). <10 eV (no ionizante) solo causa calentamiento tisular. La frontera está en UV lejano (~100–280 nm).","espectro-em biologia"
